product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
63,Кунжут черный,7610,410,Бакалея,Отличается высокой питательностью и способен быстро утолить голод.,1994-09-03,2029-02-01,3.62,In Stock
64,Пакеты для Всемирного дня музыки,9010,729,Товары для дома,Широко используется в традиционной и современной кухне.,2020-09-21,2021-05-04,4.04,On Backorder
65,Кокос,8041,208,Фрукты,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1993-02-01,2008-05-05,3.29,New
66,Огурец,3627,353,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2007-01-01,2015-03-06,4.22,On Backorder
67,Фарш индюшиный,4021,153,Мясо,Подходит для использования в качестве основы для смузи и коктейлей.,2001-07-04,2011-01-21,2.13,Backorder
68,Черешня,872,988,Фрукты,Помогает нормализовать артериальное давление и уровень холестерина.,2017-10-04,2020-02-04,4.17,Awaiting Payment
69,Курица,7054,872,Мясо,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",1996-01-12,2028-02-17,0.94,Temporarily Unavailable
70,Пакеты для игрушек,9568,270,Товары для дома,Помогает поддерживать нормальный уровень холестерина в крови.,1994-07-04,2001-02-28,0.25,Returned
71,Щавель,9203,213,Овощи,Подходит для использования в рационе людей с повышенным давлением.,2003-10-11,2022-07-14,3.78,Out of Stock
72,Редис,8564,952,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2018-05-15,2028-03-04,1.05,Refunded
73,Масло сливочное,4111,352,Молочные продукты,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2018-04-02,2022-02-16,2.36,On Backorder
74,Швабра,1135,986,Товары для дома,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1994-02-03,2002-05-03,0.89,New
75,Озеро Медвежье,5483,664,Напитки,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,1993-02-12,2022-07-01,1.05,In Stock
76,Груша,4123,418,Фрукты,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2014-08-02,2022-04-14,4.96,Delivered
77,Курт,3575,437,Молочные продукты,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",1999-02-17,2014-01-14,0.49,Cancelled
78,Плечо,4712,235,Мясо,Прошел проверку на соответствие экологическим нормам и стандартам.,2019-01-02,2025-01-05,0.92,New
79,Perrier,7016,533,Напитки,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2017-02-19,2023-02-06,4.06,Delivered
80,Папайя,664,729,Фрукты,Является важным компонентом сбалансированного рациона питания.,2014-01-07,2023-01-18,3.0,Awaiting Payment
81,Ряженка,1959,102,Молочные продукты,Помогает улучшить работу мозга и повысить концентрацию внимания.,2005-10-06,2023-02-04,4.29,Awaiting Review
82,Химкинская,3641,766,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2020-06-01,2023-02-01,1.58,In Stock
83,Наволочки,9660,258,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2019-01-22,2020-02-04,3.45,Awaiting Payment
84,Кола,5712,979,Напитки,Подходит для людей с непереносимостью лактозы благодаря специальной обработке.,2018-02-03,2026-02-05,2.67,Returned
85,Сэндвичи с ветчиной,1036,705,Мясо,Отличается низким содержанием насыщенных жиров и холестерина.,1999-02-03,2013-02-22,2.74,Cancelled
86,Лимон,9863,882,Фрукты,Помогает поддерживать нормальный уровень тестостерона у мужчин.,2000-01-17,2012-11-11,3.8,In Stock
87,Смузи бананово-клубничный,3019,197,Напитки,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",1991-01-01,2025-06-08,4.64,Refunded
88,Варенье,602,585,Бакалея,Помогает поддерживать нормальный уровень кислотности желудка.,1997-03-20,2003-02-09,2.97,Pending
89,Эндивий,7102,738,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,1992-05-07,2009-02-02,1.09,Awaiting Review
90,Грейпфрут,3390,265,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2019-08-08,2029-04-02,4.0,Delivered
91,Черешня,7197,467,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2000-06-27,2019-02-15,1.68,Pending
92,Новороссийская,8311,712,Напитки,Помогает поддерживать нормальный уровень кислотности желудка.,1999-01-09,2005-05-16,0.53,New
93,Лук-порей,4409,681,Овощи,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2000-05-06,2024-06-01,0.13,On Backorder
94,Мацони,5890,274,Молочные продукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2020-03-06,2027-01-06,4.38,In Stock
95,Тушенка,5461,135,Мясо,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2015-01-01,2022-08-01,1.72,Shipping
96,Schweppes Tonic Water,4039,554,Напитки,"Отличается высоким содержанием хрома, необходимого для регуляции уровня сахара в крови.",2001-03-12,2010-06-20,3.4,Sold
97,Шафран молотый,5205,306,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1993-03-06,2009-02-23,0.71,On Backorder
98,Ложки чайные,4521,596,Товары для дома,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1990-03-10,1997-06-08,4.53,Out of Stock
99,Молоко,1278,378,Молочные продукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",1992-03-11,2019-08-23,0.63,Out of Stock
100,Душистый перец горошком,5046,758,Бакалея,Помогает укреплять стенки сосудов и улучшать кровообращение.,1990-11-10,2019-04-12,4.44,In Stock
101,Голландский сыр,1773,441,Молочные продукты,Помогает поддерживать нормальный уровень холестерина в крови.,1990-06-01,2013-03-02,2.38,In Stock
102,Кубай,2957,684,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2019-01-04,2029-07-10,2.49,On Backorder
103,Пахта,814,300,Молочные продукты,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2017-01-02,2020-03-02,0.19,Shipping
104,Ополаскиватель для полости рта,5653,784,Товары для дома,Способствует снижению уровня стресса и улучшению настроения.,2021-08-10,2022-05-09,4.23,Refunded
105,Сидр яблочный,7763,749,Напитки,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2018-04-20,2021-01-11,4.21,Awaiting Payment
106,Сок ананасовый,3614,599,Напитки,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1998-03-07,2021-08-02,2.05,On Backorder
107,Кровяная колбаса,6240,959,Мясо,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2014-05-06,2024-02-06,4.35,Awaiting Payment
108,Тыква,2301,394,Овощи,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",2021-09-03,2028-01-04,1.48,Sold
109,Мордовская,3394,222,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2013-01-03,2029-03-14,2.04,In Stock
110,Бритвенный станок,6046,84,Товары для дома,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2004-04-03,2013-07-19,3.94,Refunded
111,Капуста белокочанная,3819,834,Овощи,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2008-02-05,2027-02-04,1.89,Delivered
112,Стиральный порошок,764,987,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",2015-03-09,2020-06-15,4.31,Awaiting Payment
113,Дезодорант,5037,364,Товары для дома,Помогает поддерживать нормальный уровень гормонов в организме.,2010-01-04,2013-01-10,0.57,Awaiting Payment
114,Петрушка корневая,2040,993,Овощи,Прошел все необходимые сертификации и соответствует международным стандартам.,1990-01-04,2019-03-10,4.1,Awaiting Review
115,Фарш свиной,6788,787,Мясо,Отличается высокой усвояемостью и не вызывает дискомфорта в желудке.,1993-03-08,2019-03-18,1.35,Cancelled
116,Бастурма,7343,401,Мясо,Отличается высокой эффективностью в борьбе с анемией благодаря содержанию железа.,2009-11-02,2014-03-04,3.85,Refunded
117,Картофель,8121,819,Овощи,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1991-01-04,2022-02-01,3.03,Backorder
118,Сгущенное молоко,1877,32,Бакалея,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",2005-04-18,2017-01-25,1.58,Out of Stock
119,Грудинка,2293,873,Мясо,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",1997-04-11,2004-07-07,0.11,Available for Pickup
120,Комсомольская,5625,248,Напитки,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2008-05-01,2013-01-19,0.63,Pending
121,Катык,9201,887,Молочные продукты,Подходит для использования в диетических программах для похудения.,2002-03-06,2002-05-02,3.73,Delivered
122,Дезодорант,3848,50,Товары для дома,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",2004-09-16,2005-03-05,4.89,Returned
123,Зельц,8050,588,Мясо,Отличается способностью повышать общий тонус и работоспособность.,1998-01-09,2026-01-05,3.91,Refunded
124,Подставки под горячее,1867,132,Товары для дома,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2018-11-04,2022-03-02,1.89,New
125,Патиссон,3464,166,Овощи,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",1995-03-01,2013-01-02,3.18,Awaiting Review
126,Майонез,9856,277,Бакалея,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",1992-01-04,2022-07-24,1.31,New
127,Чай черный,4709,646,Напитки,Помогает поддерживать нормальный уровень глюкозы в крови.,2000-05-10,2003-11-18,0.47,New
128,Тэфф,9324,71,Бакалея,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2017-03-01,2023-04-02,0.78,Cancelled
129,Манго,3829,776,Фрукты,Помогает поддерживать нормальный уровень холестерина в крови.,2018-02-07,2026-04-01,0.29,Shipping
130,Груша,8805,254,Фрукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1992-11-02,2005-01-22,4.4,Awaiting Review
131,Брынза,4495,32,Молочные продукты,Отличается низким содержанием насыщенных жиров и холестерина.,2008-02-06,2009-05-10,3.76,On Backorder
132,Цветная капуста,5990,892,Овощи,Улучшает настроение и общее самочувствие благодаря содержанию триптофана.,2001-03-17,2015-02-19,2.66,Out of Stock
133,Брокколи,2419,980,Овощи,Прошел проверку на соответствие экологическим нормам и стандартам.,2012-02-27,2030-02-02,4.46,Out of Stock
134,Турнепс,2604,54,Овощи,Помогает поддерживать нормальный уровень сахара в крови.,2018-02-12,2027-11-08,0.78,Returned
135,Зира молотая,1149,597,Бакалея,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2018-05-05,2025-05-01,2.39,Returned
136,Пакеты бумажные,8270,96,Товары для дома,"Богат кальцием, необходимым для укрепления костей и зубов.",2005-01-03,2012-03-19,0.79,New
137,Айва,2461,61,Фрукты,Помогает поддерживать нормальный уровень pH в организме.,2004-02-19,2005-02-02,4.53,Delivered
138,Клубника,1331,757,Фрукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1998-03-09,2006-02-07,2.92,Delivered
139,Катык,3548,565,Молочные продукты,"Отличается низким содержанием лактозы, что делает его доступным для людей с ее непереносимостью.",1997-10-03,2017-04-24,2.59,In Stock
140,Perrier,3803,844,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,2004-04-04,2022-05-07,2.92,Shipping
141,Постельное белье,7069,982,Товары для дома,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2015-05-20,2019-01-11,2.89,Refunded
142,Гранат,4421,310,Фрукты,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2012-05-08,2026-01-16,0.77,Refunded
143,Айва,1270,584,Фрукты,Идеален для перекусов между основными приемами пищи.,2002-06-03,2020-04-11,2.2,Returned
144,Каша из булгура,1203,440,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2003-09-17,2015-03-01,1.42,Cancelled
145,Подставки под горячее,7623,122,Товары для дома,"Отличается высоким содержанием омега-3 жирных кислот, полезных для сердца.",1996-04-02,2025-07-11,2.73,Pending
146,Помидор,9701,723,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2007-03-19,2023-01-03,0.95,Shipping
147,Кофеварка,1085,692,Товары для дома,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2011-01-06,2014-01-15,3.8,Pending
148,Брюква,8853,162,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2007-06-02,2024-11-03,3.56,On Backorder
149,Шубат,5086,816,Молочные продукты,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2013-02-09,2027-04-03,2.62,New
150,Помидор,2431,529,Овощи,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1995-02-19,2030-03-07,1.99,In Stock
